STATION_ID;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
5502;25.0;51.6927;6.5853;18920501;;Wesel-Flüren
2200;90.0;52.1658;8.6343;18971201;20061231;Hiddenhausen-Eilshausen
3591;350.0;50.6743;6.424;19931101;;Nideggen-Schmidt
598;62.0;50.7285;7.0839;19481201;19570917;Bonn
3316;234.0;51.4926;8.0639;18960801;;Möhnesee (Möhnetalsperre)
3540;195.0;50.8446;7.372;19920901;;Neunkirchen-Seelscheid-Krawinkel
235;163.0;51.8905;8.7323;19610907;19960930;Augustdorf
4742;89.0;51.1368;7.1236;19760701;20041231;Solingen-Glüder
3404;62.0;51.9494;7.5906;18910101;19911231;Münster
3216;660.0;51.2333;8.6;19410101;19911231;Medebach-Küstelberg
2099;136.0;51.3393;6.994;18910101;;Heiligenhaus-Abtsküche
110;65.0;52.0483;7.4881;18910101;;Altenberge
5483;255.0;51.1498;7.1867;18960701;;Wermelskirchen
3264;348.0;51.3385;8.2709;19020601;;Meschede
4127;350.0;50.9906;7.6958;19911001;;Reichshof-Eckenhagen
3215;380.0;51.1681;8.7129;18910901;;Medebach-Berge
2422;230.0;51.3768;7.7644;19370201;19780630;Iserlohn-Westig
3;202.0;50.7827;6.0941;18910101;20120406;Aachen
5360;331.0;51.4319;8.2665;18910101;;Warstein-Hirschberg
5358;330.0;51.45;8.35;19610201;20041231;Warstein
487;250.0;51.9836;8.554;19360301;20061031;Bielefeld-Senne
2560;35.0;51.4323;6.431;19880414;20061231;Kerken-Rahm
488;127.0;51.9394;8.5932;18900601;;Bielefeld-Sennestadt
493;121.0;51.9622;7.3073;19820910;20071231;Billerbeck
4062;40.0;52.5;8.6333;19840101;20061231;Rahden-Preußisch Ströhen
2801;340.0;50.9333;8.4167;19310101;19830731;Laasphe, Bad
387;470.0;51.0667;8.3833;19810928;20061231;Berleburg, Bad (Alte Warte)
2630;16.0;51.835;6.1105;19691215;20130502;Kleve-Schenkenschanz
13663;84.0;51.009;6.6982;20061220;20071231;Bergheim/Erft-Rheidt
4153;208.0;51.1667;7.2167;19050414;20061231;Remscheid (Eschbachtal)
3466;395.0;50.8574;8.2116;19670601;19991231;Netphen-Hainchen
463;330.0;51.3718;8.4307;18631201;20061231;Bestwig-Nuttlar
6313;440.0;51.2488;7.4672;20041201;;Breckerfeld-Wengeberg
3407;320.0;50.5485;6.7605;18910101;;Münstereifel, Bad
2777;230.0;51.0545;7.2634;18951201;20030630;Kürten
2731;40.0;51.3009;6.5265;19680701;20061231;Krefeld-Forstwald
4692;229.0;50.8534;7.9966;18910901;20181203;Siegen (Kläranlage)
1300;351.0;51.254;8.1565;18910701;;Eslohe
