name;east;north;up;value;dist_1;value_1;dist_2;value_2;dist_3;value_3;dist_4;value_4;dist_5;value_5;dist_6;value_6;dist_7;value_7;dist_8;value_8;dist_9;value_9;dist_10;value_10;dist_11;value_11;dist_12;value_12;dist_13;value_13;dist_14;value_14;dist_15;value_15;dist_16;value_16;dist_17;value_17;dist_18;value_18;dist_19;value_19;dist_20;value_20;dist_21;value_21;dist_22;value_22;dist_23;value_23;dist_24;value_24;dist_25;value_25;dist_26;value_26;dist_27;value_27;dist_28;value_28;dist_29;value_29;dist_30;value_30;dist_31;value_31;dist_32;value_32;dist_33;value_33;dist_34;value_34;dist_35;value_35;dist_36;value_36;dist_37;value_37;dist_38;value_38;dist_39;value_39;dist_40;value_40;dist_41;value_41;dist_42;value_42;dist_43;value_43;dist_44;value_44;dist_45;value_45;dist_46;value_46;dist_47;value_47;dist_48;value_48;dist_49;value_49;dist_50;value_50;unix;doy
Simmerath (Kalltalsperre);32309996.79;5613973.63;435;15.6;8472.036079297084;11.5;15877.810961239767;29.7;17301.26501989048;17.2;20523.669394806537;10.2;22152.016588568036;16.4;26847.85842299517;20.9;31558.55137591041;18.0;31781.594046759437;8.7;33550.48046949081;11.0;34564.366422264866;9.9;41920.736364614764;13.5;43441.85612442666;12.1;44820.39350736557;7.9;46276.32721662524;26.7;47261.42978484243;31.5;49793.093311441415;10.9;51170.39329633093;19.6;52211.76951592408;26.6;54031.75918217118;23.7;60432.83417050599;25.7;62998.34192716504;14.8;63890.95743281582;7.0;64372.677368275006;16.7;64506.010095371836;18.7;72137.70147803299;17.2;72919.70217583691;30.9;73023.52310708739;14.8;76578.63393132496;22.9;77038.13069283974;12.4;77657.39051680778;32.9;77954.6147726636;26.2;79030.00155212634;27.0;83159.74915080031;43.7;85167.09766228942;37.2;89593.78774127574;17.1;90704.80981962754;43.1;92215.68194986704;25.3;92428.18026161696;37.3;94414.09938407695;8.8;95990.18526445671;29.9;97018.42619584547;32.3;99723.99385835533;14.8;101928.55051648783;27.9;104714.08551234043;25.6;104970.13280119117;34.8;105087.67230333533;38.2;105219.2666393106;36.1;108610.69758739695;14.6;112960.7184753889;27.7;114342.21361022216;35.1;1504828800;251
Solingen-Hohenscheid;32366595.47;5667144.87;154;32.9;5447.340403288007;30.9;6642.900177483278;43.7;9537.394534630012;37.2;17154.939944145546;18.7;18619.122572937693;25.7;19077.322623733133;37.3;23200.375435448936;43.1;23257.410540240176;22.9;23259.45234356496;32.3;25955.977077736432;25.3;26781.765289182807;19.6;27559.47896435223;38.2;28529.39780003937;27.0;28808.42145321605;36.1;30629.115658190763;29.9;30986.759638271826;16.7;37939.278891266105;34.8;38268.81525066673;26.2;39637.02609163012;35.1;40141.479713735964;23.5;42680.9181483742;12.1;45404.265828366144;25.6;45625.420628782565;14.8;48316.18074370512;17.2;48537.15184316938;25.6;49240.70235402911;14.8;49614.343080791485;17.1;50704.684235677785;12.4;51246.571811670656;23.7;52170.89319335499;9.9;52383.29532988528;10.9;53065.33976784657;14.6;53346.83257212;27.9;54133.81709772363;31.5;55041.63953342182;21.1;55202.470342885616;7.0;55204.16170631698;23.8;55215.58885273332;23.6;55691.7982098078;14.8;57487.2717323128;8.7;57500.83427573709;27.7;58308.89275879992;7.9;63054.48274769817;34.5;63510.648007255215;10.2;63692.94131041956;24.6;64757.2490449235;14.8;65029.656204210456;13.3;65610.99251867598;20.2;65903.89066915108;13.4;67571.42067737492;23.3;1504828800;251
Steinfurt-Burgsteinfurt;32386417.4;5775382.73;64;11.9;12665.279514973603;17.4;16335.743681001268;13.7;21357.706151008682;20.9;24434.5384473894;19.8;24833.823198897597;14.5;27701.090697407046;14.1;36212.40011124747;15.4;37052.81531222622;12.5;38092.367386740916;13.8;40867.968546027405;19.2;40921.30701832663;18.5;41420.82086493657;24.6;45697.89526282534;20.2;48929.74783424222;18.4;57365.74378583027;11.1;58087.70870364713;23.6;61611.76515444068;10.6;62960.14608260336;34.5;63122.5367220948;25.6;68190.58925909571;11.4;70025.26583199491;14.9;70256.90698589139;11.1;70994.60926027202;22.6;71184.66518064143;35.1;71329.17981409669;14.6;74988.15485522195;21.6;76587.14732954912;14.2;80018.87166134987;10.2;80779.36655754263;14.8;80955.58312379147;12.5;83418.62914074374;29.9;84971.21737270131;12.2;85511.59000873369;14.8;86118.34498593069;10.4;87131.81380969794;13.3;87253.27653911921;38.2;88157.25650984803;22.1;89804.27856515319;43.1;90298.89923160216;11.8;91960.70925332977;27.0;91998.33407656619;24.2;92758.49294488457;12.3;92771.00819751603;7.7;94376.78623616193;9.0;96498.5829544732;12.4;96642.16037042244;17.4;96999.59208388175;36.1;97712.10117047241;6.2;98430.71025867973;14.8;99218.85211600935;23.5;1504828800;251
Steinhagen-Brockhagen;32455078.82;5761629.66;82;14.9;9864.647035860491;10.6;10719.40074155328;14.2;12784.301968370168;11.1;18442.77645780342;22.1;20314.249860334137;12.5;21936.053668981836;27.0;27914.010600305784;21.6;28780.9491757386;24.2;30039.45330979035;17.4;30208.007111480307;27.1;33887.809576655876;12.5;35138.56899204846;15.4;36424.940759655554;12.4;38647.323129512806;20.9;41278.85159695766;11.8;41709.62888890674;13.5;43258.32496965706;7.7;45627.932568200886;19.2;46790.53870647864;19.8;49068.359609405634;18.4;51996.62018498148;12.3;52367.15315209367;10.4;54693.12934506137;14.5;56698.57489488175;13.7;56709.21128292513;3.7;57046.33043488112;22.6;57230.51817294091;11.3;57704.39073255107;3.5;59048.35635357437;17.4;59315.71807076093;1.8;60059.428195767614;14.8;62286.088113658174;6.0;62696.245098101375;18.5;63808.60461892584;7.3;65215.11465901504;12.2;65416.550961732995;10.1;66004.36082987153;4.2;66225.68236412916;4.3;66635.60250938349;34.5;68855.54316160147;5.7;70025.26583199491;11.9;71583.51516822107;13.3;74141.769680237;10.7;74698.93992791558;6.0;75714.37314545413;20.2;76702.83426438479;1.5;78044.43246386587;1.9;78103.0341930521;5.7;79098.3766476211;23.6;80702.18284126572;11.8;1504828800;251
Sundern-Röhrenspring;32433363.46;5677525.59;570;23.3;12469.65192451275;13.4;12726.215763973016;21.1;14373.434158494272;14.8;15911.021738607364;10.4;18557.900448191147;23.8;18846.563757767595;10.7;21408.93421562421;13.3;24719.373115890518;12.2;25857.8472969745;7.3;27547.515896022218;14.8;28117.916738250577;23.5;29592.685267425215;24.6;30525.6432492314;22.4;30595.205809579933;11.8;31829.888979103594;17.9;33847.639388479794;34.8;34534.479500873575;10.4;36836.57269567172;17.0;36897.61672501584;27.7;37255.980279514704;12.8;37420.33102767888;25.6;38420.3983167654;22.6;38918.37289159385;3.7;40355.18650875592;36.1;41378.929081997056;11.2;43707.39205586319;10.6;44388.73601031063;32.3;45881.11761871188;10.5;46124.44697255829;5.7;46626.172770351084;34.5;46637.15589492068;25.3;47419.84968842151;14.3;48200.495356625426;27.9;48830.981773733554;37.3;49381.83812668285;6.0;49550.689260704676;11.8;50071.294251026105;38.2;54739.86918842967;7.3;58982.66670643969;21.6;59253.283317488116;23.6;59857.943837706014;17.1;59935.952764976784;35.1;60594.870603738564;18.4;60797.059856808526;1.8;60930.02351897362;43.7;62245.38774728997;22.9;63615.815404282555;12.4;64910.09904652753;26.2;65677.53739443612;37.2;67571.42067737492;32.9;1504828800;251
Tönisvorst;32321757.62;5685145.06;37;17.2;16941.459262640485;14.8;18548.049264450638;23.7;22672.87255206083;27.0;25613.62768687403;31.5;26579.245408389703;8.8;30277.737272333183;14.8;31001.979569310766;12.1;34416.35109510107;18.7;36455.01274885543;26.7;38660.316638886405;29.9;38759.44672377008;43.1;39761.16178224562;14.6;40457.262779129946;8.7;41085.610056802274;19.6;45428.92046215802;10.2;45901.15649708255;11.1;46720.69523008415;37.2;46733.02599863451;26.6;48316.18074370512;32.9;48965.48512207888;30.9;49037.57165578281;11.4;49859.32894032767;6.2;50124.18322636005;25.7;51661.506108107664;10.2;53697.62591651902;25.6;54187.32614016697;43.7;57761.93821761367;9.0;61226.66543913514;35.1;62748.838499312864;38.2;66429.24797417402;37.3;68474.71759346662;22.9;68476.56064237219;11.5;68730.69275505409;9.9;68832.14324782307;16.7;69850.57348007947;32.3;71565.63769148025;36.1;71755.02672496505;24.6;72137.70147803299;15.6;73396.73271198141;13.8;74265.42466796111;25.3;75035.40130645673;23.6;76133.6655861846;17.2;78528.64868986665;20.2;79602.06447870481;10.9;81078.98931186358;14.8;81756.86424419457;26.2;81959.99974368246;7.9;83800.63438674489;23.5;85408.28067720907;11.0;85780.55145160099;34.8;1504828800;251
Versmold;32442326.94;5762539.37;63;11.1;5193.707171586464;10.6;12784.301968370168;14.9;21121.39747130946;12.5;21454.84941045464;14.2;23367.331197333453;15.4;29014.506625074137;21.6;29312.771481474414;12.5;30809.53564706788;22.1;34586.56619771067;19.8;34648.73809548783;27.0;36937.66829730407;19.2;37660.15061380567;24.2;39623.985508349135;18.4;41933.02976606672;17.4;42886.654309948564;27.1;43492.75233053906;14.5;44212.1825799233;12.4;44537.01251205923;13.7;44935.26039057249;11.8;46270.54183283634;17.4;49994.255688229554;7.7;51279.185677266716;20.9;51773.60074511672;18.5;51804.545010458096;22.6;51917.21262514934;10.4;53006.31375148706;13.5;56689.96452949058;12.3;57365.74378583027;11.9;57981.164372182575;14.8;58769.07120515964;34.5;60216.346730236386;3.7;62130.578405781926;12.2;64774.85055904372;7.3;64834.467309085165;20.2;67298.60220322844;1.8;67400.47286523825;3.5;67989.43935077741;13.3;68974.12885010178;20.9;69437.03064296665;11.3;69486.94769357303;23.6;71714.97042094312;6.0;74491.48190914419;5.7;75135.31929895555;10.7;76376.26786743703;4.3;76789.82147431085;13.8;77670.68285114059;4.2;78052.4956140824;10.1;80779.44258483786;6.0;82736.66985287865;14.8;83919.54276086456;11.8;1504828800;251
Wadersloh;32449180.48;5734345.94;96;21.6;16499.589963779217;11.8;21042.161115799256;24.2;22456.616432473253;12.4;24460.906700032247;10.4;24489.48607363765;10.6;27914.010600305784;14.9;29014.506625074137;11.1;30390.1364715998;22.1;31347.060182048965;3.7;32567.7088147226;14.8;32902.820889626484;22.6;35264.419105114095;18.4;35649.07050671652;27.0;36236.32202215357;7.3;37326.10512162248;14.2;38246.657453593296;12.2;39780.18648028284;12.5;39802.28853153378;13.5;40889.06867230393;27.1;42893.58190293703;1.8;44860.38188127384;13.3;46340.338937178174;34.5;46625.84220263409;10.7;46664.882552124276;5.7;46810.440462124534;3.5;47121.40353180101;12.5;48648.559848819095;15.4;51116.5686795211;17.4;51386.55571747519;18.5;53231.56941428205;6.0;54326.75682671043;20.9;54913.481507377626;11.8;56346.47342114044;4.3;57214.191535433514;19.8;58700.6015364248;11.3;58982.66670643969;23.3;59164.23075501241;14.8;60614.522284722145;10.4;62029.228574240384;23.6;62389.87242404543;17.4;62919.981808139826;20.2;63126.12838357392;4.2;65129.50572630256;1.5;65136.10894280259;19.2;66100.89270086028;17.9;66479.24643186101;13.7;66833.97558536912;21.1;68396.28004990332;14.5;70253.72969098893;1.9;70450.91197199645;7.7;1504828800;251
Waltrop-Abdinghof;32389517.21;5717377.79;60;23.6;12687.532652908134;20.2;16104.5597951042;35.1;17275.719929776456;34.5;20466.58356261634;18.5;23648.349816241927;25.6;29664.77704428749;38.2;30050.92782269933;18.4;32320.465166939946;13.8;33542.572139347816;22.6;37145.771739782984;29.9;38928.78594382337;36.1;40408.94441495954;13.3;40423.69756575228;43.1;42428.9823371254;12.2;42435.18394758866;23.5;43021.621287268936;14.6;44038.183776890255;20.9;46061.223368250256;14.8;46233.846591614245;37.2;47144.02544191542;14.8;47196.519096460965;24.6;48179.73133682352;32.3;49727.185966297206;14.8;50483.338749651135;37.3;50571.15986195733;17.4;51967.652127550136;43.7;54050.50979148776;21.1;54097.62785795501;10.4;55215.58885273332;32.9;55242.59072341257;12.5;55445.853558990544;27.0;57722.25507496497;11.1;58087.70870364713;11.9;58480.55663144787;34.8;58482.316011698924;11.4;59245.6904291311;25.3;59253.283317488116;23.3;60632.90604935322;30.9;62029.228574240384;21.6;62535.664657856985;7.3;62692.14024713628;14.1;63051.30962605384;23.8;63110.68885911634;19.8;64745.27183167278;13.7;65942.07845439012;18.7;66553.38820402785;15.4;66657.21310141972;10.7;67665.49147128097;13.4;68645.83591009362;11.8;69486.94769357303;11.1;1504828800;251
Warburg;32507759.66;5705879.95;236;1.5;10728.84123906166;4.3;10961.554459278372;1.9;19156.42763826772;3.5;22752.16895859365;4.2;23527.517945922897;1.8;30625.524419865484;6.0;33220.33337833946;11.3;33609.3077933923;5.7;36564.57025509418;13.5;38362.522901697834;5.7;41778.82287011596;10.1;43383.9968578327;12.4;46557.67499038201;14.3;47041.23470795244;3.7;48924.55267076409;24.2;50396.62102714404;11.8;51762.25582064536;11.8;54247.016700202;27.1;56368.7333159412;17.9;59260.99668249478;7.3;60042.02408844669;27.0;60234.02097390753;22.1;61298.47022369429;10.7;61551.80454355416;20.9;64741.972669364884;10.4;65129.50572630256;21.6;67140.55397768093;10.4;71211.96916986171;17.4;72188.01865562139;12.8;72751.86339512211;14.8;76702.83426438479;14.9;77622.42043449856;14.2;77726.3961850621;17.0;78858.31892044925;12.2;79429.84881962845;22.4;79617.05760356576;23.3;81424.46282940435;10.6;82527.54675350463;12.5;83847.97650981616;13.3;85260.58478749775;22.6;85630.92828584362;13.4;86108.72531951929;10.5;86554.95739895338;11.1;90705.72516954826;14.8;91007.96292674314;11.2;92322.85551466364;21.1;96133.99935867;23.8;97834.03513464307;6.0;98228.2134407666;18.4;98646.35037830788;24.6;1504828800;251
